user_id,first_name,last_name,email,phone_number,address,city,state,postal_code,country,date_of_birth,gender,nationality,job_title,department,salary,hire_date,termination_date,manager_id,employee_status,performance_rating,work_location,employee_type,employee_id,supervisor_id
1,Tibold,Allanby,tallanby0@joomla.org,764-687-4322,3156 Nancy Hill,Rashaant,,,Mongolia,8/14/1994,Male,Canada,Account Executive,Business Development,74333.37,3/8/2014,10/8/2021,1,On Leave,1.9,Branch Office,Full-time,1,1
2,Glynnis,Eary,geary1@time.com,122-315-2435,7 Green Ridge Pass,Tangtuzhui,,,China,7/21/1990,Female,Czech Republic,Safety Technician II,Accounting,51727.0,9/19/2008,4/19/2004,2,Active,4.6,Remote,Part-time,2,2
3,Anneliese,Victory,avictory2@walmart.com,134-133-7718,4 Kipling Parkway,Niquero,,,Cuba,11/23/1961,Female,Sweden,Research Nurse,Research and Development,98687.79,2/1/2008,11/11/2021,3,Active,1.5,Branch Office,Part-time,3,3
4,Tracey,Laroux,tlaroux3@slideshare.net,150-415-2470,7260 Dexter Court,Caomiao,,,China,10/23/1995,Male,Thailand,Staff Accountant II,Services,167683.47,4/29/2014,5/18/2017,4,On Leave,4.5,Headquarters,Full-time,4,4
5,Yule,Girton,ygirton4@oakley.com,416-396-2786,78519 Lakewood Gardens Parkway,Sosnowiec,,41-221,Poland,7/18/1959,Male,Mexico,Nurse,Legal,118121.0,9/24/2013,7/21/2022,5,Active,4.0,Remote,Part-time,5,5
6,Gorden,Ellissen,gellissen5@gov.uk,980-961-9604,448 East Way,San Buenaventura,,,Honduras,12/11/1989,Male,Ukraine,Human Resources Assistant I,Product Management,95360.68,3/15/2019,4/10/2022,6,On Leave,3.2,Branch Office,Part-time,6,6
7,Gare,Fayne,gfayne6@simplemachines.org,688-910-0818,48096 Bowman Circle,Živinice,,,Bosnia and Herzegovina,4/11/1952,Male,Poland,Account Executive,Sales,69502.78,10/1/2000,10/24/2011,7,Inactive,2.4,Headquarters,Part-time,7,7
8,Reggie,Hinkley,rhinkley7@mac.com,565-404-0459,1882 Banding Place,Al Maşlūb,,,Yemen,3/10/1988,Female,Russia,Structural Engineer,Sales,61412.49,12/12/2003,5/3/2002,8,Inactive,3.3,Branch Office,Part-time,8,8
9,Adan,Biasetti,abiasetti8@uol.com.br,189-568-3164,9 Larry Trail,Jiefangyan,,,China,2/10/1973,Female,Czech Republic,Operator,Product Management,107831.92,5/24/2007,2/12/2015,9,Inactive,4.7,Remote,Contract,9,9
10,Tore,Scraney,tscraney9@timesonline.co.uk,405-186-2330,9 Swallow Street,Morinville,Alberta,T8R,Canada,3/12/1950,Male,China,Professor,Human Resources,69807.51,4/23/2001,6/16/2003,10,Active,3.0,Remote,Contract,10,10
11,Gill,Landeg,glandega@elegantthemes.com,687-695-5663,6 Bluestem Terrace,Limoges,Limousin,87066 CEDEX 2,France,10/26/1968,Female,Ukraine,Executive Secretary,Product Management,72952.44,4/3/2006,6/10/2012,11,Active,1.5,Branch Office,Full-time,11,11
12,Zeb,Bowater,zbowaterb@scientificamerican.com,755-241-8259,052 Springs Crossing,Jianggu,,,China,8/21/1992,Male,China,Social Worker,Services,173499.16,6/30/2002,1/3/2005,12,Inactive,4.0,Remote,Full-time,12,12
