transaction_id,customer_id,product_id,transaction_date,quantity,unit_price,discount,pre_discount_total_price,grand_total_price,payment_method,employee_id,credit_card_number,credit_card_type
1,13,547,2023-09-13,96,"5,445.43",,522761.28,522761.28,credit card,655,3536325049731860,china-unionpay
2,282,38,2022-04-25,41,"8,511.71",,348980.11,348980.11,credit card,639,3552483905280545,jcb
3,454,8549,2022-12-27,72,"1,562.60",0.46,112507.2,51753.312,credit card,906,30217660835848,diners-club-carte-blanche
4,577,5858,2023-04-24,73,"3,462.32",0.27,252749.36,68242.3272,credit card,411,3550763143922509,jcb
5,229,8827,2023-11-23,100,"1,328.19",,132819,132819,credit card,95,3557465849876236,jcb
6,372,6887,2022-01-19,2,"1,644.86",0.68,3289.72,2237.0096,cash,231,,
7,229,6919,2023-09-11,4,"4,297.88",,17191.52,17191.52,credit card,162,3548683624237778,jcb
8,504,1993,2023-10-01,25,"6,235.80",,155895,155895,credit card,994,3571101009238998,jcb
9,601,1113,2022-08-14,70,"7,249.11",,507437.7,507437.7,credit card,29,3542802012162275,jcb
10,39,9443,2023-10-06,70,"6,678.72",,467510.4,467510.4,check,199,,
11,295,9698,2022-06-27,52,"1,106.21",0.91,57522.92,52345.8572,credit card,590,3558770311303059,jcb
12,832,3392,2023-03-30,76,"5,569.24",0.78,423262.24,330144.5472,credit card,506,3531149177239982,jcb
13,402,5949,2022-10-26,84,"3,325.32",0.94,279326.88,262567.2672,credit card,419,3529232046680232,jcb
14,123,3728,2023-04-21,84,"7,827.27",,657490.68,657490.68,credit card,982,3556380458630702,jcb
15,703,2744,2022-01-25,7,"2,514.58",,17602.06,17602.06,cash,722,,
16,84,1995,2022-02-10,14,"8,048.16",,112674.24,112674.24,credit card,158,3548430181424898,jcb
17,621,291,2023-12-03,82,"3,101.95",0.85,254359.9,216205.915,cash,339,,
18,151,338,2023-08-28,76,"5,668.96",0.14,430840.96,60317.7344,check,301,,
19,27,2003,2022-11-01,56,"3,931.24",0.87,220149.44,191530.0128,credit card,650,3577944041596251,jcb
20,574,9734,2022-11-05,57,"1,223.97",0.83,69766.29,57906.0207,cash,753,,
21,99,2633,2022-04-23,4,"5,828.79",,23315.16,23315.16,credit card,442,3577799197859493,jcb
22,151,8699,2022-12-09,18,"3,358.44",,60451.92,60451.92,credit card,319,56022452470664599,americanexpress
23,615,2255,2023-09-23,16,"6,210.59",,99369.44,99369.44,credit card,425,3556991335995967,jcb
24,147,6761,2022-11-07,58,"8,199.44",,475567.52,475567.52,credit card,219,3576131869666272,jcb
25,154,8816,2022-12-04,55,713.16,,39223.8,39223.8,cash,103,,
26,37,9774,2022-04-06,89,"9,654.27",,859230.03,859230.03,credit card,128,5018377068660050,maestro
27,650,1822,2023-06-24,29,"4,271.69",,123879.01,123879.01,cash,163,,
28,589,6785,2023-04-09,17,"4,762.94",0.90,80969.98,72872.982,cash,109,,
29,439,5294,2023-01-12,51,"4,932.85",,251575.35,251575.35,credit card,840,3567886014758420,jcb
30,64,9619,2023-04-06,47,"8,093.09",,380375.23,380375.23,credit card,697,3575399031359461,solo
31,151,5599,2023-08-21,18,"5,090.45",,91628.1,91628.1,check,884,,
32,140,6281,2023-06-12,25,"7,371.65",0.28,184291.25,51601.55,credit card,805,5475415124813465,americanexpress
33,260,8909,2022-04-06,81,"7,520.42",,609154.02,609154.02,credit card,445,5108759685302342,mastercard
34,536,2581,2022-02-10,90,"9,644.56",,868010.4,868010.4,credit card,158,5100177999457306,mastercard
35,303,2256,2022-01-13,75,"2,907.92",0.57,218094,124313.58,credit card,510,3545203658022336,visa
36,569,1404,2023-04-27,70,"9,782.64",,684784.8,684784.8,check,549,,
37,974,9530,2023-09-26,98,484.22,0.13,47453.56,6168.9628,check,446,,
38,973,7982,2022-10-14,20,"5,311.51",,106230.2,106230.2,credit card,586,3554551133452819,jcb
39,139,9497,2023-08-24,21,"4,291.73",0.85,90126.33,76607.3805,credit card,689,5602251121556906,china-unionpay
40,420,2270,2022-03-27,72,"2,685.73",,193372.56,193372.56,credit card,965,201936786469074,diners-club-enroute
41,39,7808,2023-01-25,10,"2,876.83",,28768.3,28768.3,cash,152,,
42,371,671,2023-11-28,34,"5,322.09",0.70,180951.06,126665.742,credit card,494,5602233862426812,bankcard
43,143,7166,2022-04-13,67,"8,738.18",0.59,585458.06,345420.2554,credit card,374,4175002084631560,visa-electron
44,916,5688,2022-09-07,40,"4,091.71",,163668.4,163668.4,credit card,444,3538614276301689,solo
45,290,6606,2022-05-30,56,"7,887.96",0.19,441725.76,83927.8944,credit card,525,3546375929866789,mastercard
46,110,4640,2023-08-09,80,"2,871.96",,229756.8,229756.8,cash,850,,
47,188,4197,2022-04-23,61,"1,449.33",0.00,88409.13,0,credit card,110,372301797056217,americanexpress
48,550,7535,2022-12-12,8,"9,798.46",0.03,78387.68,2351.6304,cash,611,,
49,26,117,2022-07-23,53,"4,052.20",,214766.6,214766.6,credit card,589,30205149650458,diners-club-carte-blanche
50,981,1484,2022-01-29,66,"3,299.67",0.04,217778.22,8711.1288,credit card,790,372301471470486,americanexpress
51,461,6780,2022-08-17,100,"2,405.81",,240581,240581,credit card,38,3541954528490004,jcb
52,414,8203,2022-10-22,45,"7,159.27",0.41,322167.15,132088.5315,cash,126,,
53,576,2461,2023-06-16,45,"4,280.87",0.65,192639.15,125215.4475,cash,888,,
54,533,3425,2023-07-07,74,"3,563.36",,263688.64,263688.64,credit card,125,5482946430369314,diners-club-us-ca
55,732,1327,2023-07-23,19,"4,945.92",0.05,93972.48,4698.624,cash,518,,
56,334,9891,2023-02-15,1,"1,360.17",,1360.17,1360.17,check,195,,
57,386,5501,2022-07-01,93,"5,748.03",0.62,534566.79,331431.4098,credit card,752,6304517734419438,maestro
58,383,357,2022-07-29,51,"9,656.39",,492475.89,492475.89,credit card,380,3541187912558058,jcb
59,401,6896,2023-09-24,56,"3,499.99",,195999.44,195999.44,credit card,97,6331105538731195,diners-club-carte-blanche
60,574,102,2023-01-10,61,"7,156.76",,436562.36,436562.36,credit card,560,3555634232562115,jcb
61,831,2650,2022-08-30,14,"5,664.94",0.28,79309.16,22206.5648,credit card,784,30520630218965,diners-club-carte-blanche
62,973,434,2023-07-12,94,"4,556.46",,428307.24,428307.24,cash,398,,
63,368,1524,2023-06-28,92,"7,224.24",,664630.08,664630.08,credit card,245,3576948124624766,jcb
64,842,7031,2022-06-11,59,"5,923.97",0.16,349514.23,55922.2768,check,153,,
65,465,4903,2023-11-24,86,"3,729.43",,320730.98,320730.98,credit card,25,5610600197236811,maestro
66,888,6402,2023-07-24,37,"5,729.47",,211990.39,211990.39,credit card,426,63042109750179399,laser
67,46,3386,2023-05-30,76,"6,418.33",,487793.08,487793.08,credit card,963,3549889933769711,visa-electron
68,640,2832,2022-11-15,1,"1,105.65",,1105.65,1105.65,credit card,263,5610924054711132,bankcard
69,229,2970,2022-10-11,100,"6,763.79",,676379,676379,credit card,714,6771768040209922,switch
70,896,7657,2023-04-21,72,612.71,,44115.12,44115.12,credit card,257,201789334050106,jcb
71,1,8153,2022-04-21,73,"2,583.49",,188594.77,188594.77,credit card,862,3545628876449996,jcb
72,49,5538,2023-10-19,28,"6,611.38",0.68,185118.64,125880.6752,credit card,888,5018298971305635,maestro
73,20,1617,2023-10-28,57,"2,014.16",,114807.12,114807.12,cash,427,,
74,679,9591,2023-11-12,24,"2,023.18",,48556.32,48556.32,check,187,,
75,140,8245,2023-05-20,15,"3,949.91",0.18,59248.65,10664.757,cash,750,,
76,355,6652,2023-09-14,64,"4,035.16",,258250.24,258250.24,cash,840,,
77,747,3853,2023-08-05,1,"9,641.05",0.02,9641.05,192.821,check,632,,
78,592,3396,2022-07-11,91,"1,304.65",,118723.15,118723.15,credit card,499,6388148553765252,instapayment
79,71,3324,2022-03-16,7,"8,611.88",,60283.16,60283.16,credit card,154,3589252926780859,diners-club-us-ca
80,146,9386,2022-11-28,78,"7,604.27",0.77,593133.06,456712.4562,cash,301,,
